trade_id,symbol,price,quantity,trade_time,is_buyer_maker,ingestion_time,is_injected,fault_type,open,high,low,close,volume,close_time,trade_count
1787731736133,XRPUSDT,1.38247021,109000.39864121,1787731736133,False,1787731736237,False,,1.38190602,1.38259544,1.38171721,1.38247021,109000.39864121,1787731796132,1
1787731796133,XRPUSDT,1.38174917,22991.35053477,1787731796133,False,1787731796496,False,,1.38176069,1.38266264,1.38163627,1.38174917,22991.35053477,1787731856132,388
1787731856133,XRPUSDT,1.381012,39242.04776742,1787731856133,False,1787731856259,False,,1.3825098,1.3825098,1.381012,1.381012,39242.04776742,1787731916132,418
1787731916133,XRPUSDT,1.38139701,20905.57927529,1787731916133,False,1787731916350,False,,1.38134299,1.38148408,1.38093888,1.38139701,20905.57927529,1787731976132,655
1787731976133,XRPUSDT,1.38052756,32362.05534104,1787731976133,False,1787731976500,False,,1.38197425,1.38197425,1.38052756,1.38052756,32362.05534104,1787732036132,65
1787732036133,XRPUSDT,1.38135199,218913.04701721,1787732036133,False,1787732036280,False,,1.38066525,1.38177829,1.38066525,1.38135199,218913.04701721,1787732096132,477
1787732096133,XRPUSDT,1.38167153,26850.72163926,1787732096133,False,1787732096596,False,,1.38012977,1.38170188,1.38011306,1.38167153,26850.72163926,1787732156132,523
1787732156133,XRPUSDT,1.38141314,11612.31699609,1787732156133,False,1787732156598,False,,1.38091885,1.38141314,1.3805852,1.38141314,11612.31699609,1787732216132,390
1787732216133,XRPUSDT,1.38119018,138558.81025361,1787732216133,False,1787732216333,False,,1.38086452,1.3815514,1.38078337,1.38119018,138558.81025361,1787732276132,163
1787732276133,XRPUSDT,1.38249787,55835.41027101,1787732276133,False,1787732276432,False,,1.38306568,1.38329788,1.38249787,1.38249787,55835.41027101,1787732336132,653
1787732336133,XRPUSDT,1.38195298,35466.84215905,1787732336133,False,1787732336400,False,,1.38311978,1.38395126,1.38195298,1.38195298,35466.84215905,1787732396132,1
1787732396133,XRPUSDT,1.38274321,42126.45216559,1787732396133,False,1787732396583,False,,1.38281257,1.38289969,1.38217965,1.38274321,42126.45216559,1787732456132,490
1787732456133,XRPUSDT,1.38281685,40633.07081864,1787732456133,False,1787732456463,False,,1.38368943,1.38421213,1.38281685,1.38281685,40633.07081864,1787732516132,1
