trade_id,symbol,price,quantity,trade_time,is_buyer_maker,ingestion_time,is_injected,fault_type,open,high,low,close,volume,close_time,trade_count
1787731736133,UNIUSDT,5.74697371,1479.34908036,1787731736133,False,1787731736413,False,,5.74035591,5.7484433,5.73814225,5.74697371,1479.34908036,1787731796132,1
1787731796133,UNIUSDT,5.73591044,1757.1928316,1787731796133,False,1787731796517,False,,5.73604545,5.74662054,5.73458763,5.73591044,1757.1928316,1787731856132,232
1787731856133,UNIUSDT,5.74301095,2604.40004198,1787731856133,False,1787731856552,False,,5.76061014,5.76061014,5.74301095,5.74301095,2604.40004198,1787731916132,271
1787731916133,UNIUSDT,5.74935184,22443.13529334,1787731916133,False,1787731916546,False,,5.74871723,5.75037474,5.74397131,5.74935184,22443.13529334,1787731976132,580
1787731976133,UNIUSDT,5.75090508,11127.71135072,1787731976133,False,1787731976203,False,,5.76793241,5.76793241,5.75090508,5.75090508,11127.71135072,1787732036132,1
1787732036133,UNIUSDT,5.73876152,11953.80773608,1787732036133,False,1787732036280,False,,5.73071183,5.74376201,5.73071183,5.73876152,11953.80773608,1787732096132,348
1787732096133,UNIUSDT,5.73222101,9489.51861844,1787732096133,False,1787732096389,False,,5.71418413,5.73257641,5.71398885,5.73222101,9489.51861844,1787732156132,407
1787732156133,UNIUSDT,5.72654695,5226.87459233,1787732156133,False,1787732156350,False,,5.72076499,5.72654695,5.71686425,5.72654695,5226.87459233,1787732216132,235
1787732216133,UNIUSDT,5.72630127,1623.31454926,1787732216133,False,1787732216600,False,,5.72249092,5.73052945,5.72154169,5.72630127,1623.31454926,1787732276132,1
1787732276133,UNIUSDT,5.73479665,4519.42758652,1787732276133,False,1787732276449,False,,5.74144764,5.74416894,5.73479665,5.73479665,4519.42758652,1787732336132,577
1787732336133,UNIUSDT,5.7528669,2226.66583008,1787732336133,False,1787732336298,False,,5.76658792,5.77637867,5.7528669,5.7528669,2226.66583008,1787732396132,1
1787732396133,UNIUSDT,5.74161243,10987.47388345,1787732396133,False,1787732396625,False,,5.74242544,5.74344668,5.73500944,5.74161243,10987.47388345,1787732456132,365
1787732456133,UNIUSDT,5.75956699,3747.85049346,1787732456133,False,1787732456208,False,,5.76983171,5.77598619,5.75956699,5.75956699,3747.85049346,1787732516132,1
1787732516133,UNIUSDT,5.75038068,903.96167585,1787732516133,False,1787732516397,False,,5.74948672,5.75152575,5.74511344,5.75038068,903.96167585,1787732576132,28
1787732576133,UNIUSDT,5.75053965,53063.7622099,1787732576133,False,1787732576317,False,,5.75591756,5.75677005,5.75014373,5.75053965,53063.7622099,1787732636132,287
1787732636133,UNIUSDT,5.75367435,609.84060954,1787732636133,False,1787732636240,False,,5.74323456,5.75493122,5.73990127,5.75367435,609.84060954,1787732696132,1
1787732696133,UNIUSDT,5.76190601,31013.43804441,1787732696133,False,1787732696213,False,,5.75563173,5.76193389,5.75563173,5.76190601,31013.43804441,1787732756132,1
1787732756133,UNIUSDT,5.77573533,6243.26056846,1787732756133,False,1787732756303,False,,5.78459155,5.78459155,5.76620624,5.77573533,6243.26056846,1787732816132,31
1787732816133,UNIUSDT,5.7693944,22910.18180173,1787732816133,False,1787732816221,False,,5.76669421,5.77116258,5.76631852,5.7693944,22910.18180173,1787732876132,517
1787732876133,UNIUSDT,5.7812366,1930.28700185,1787732876133,False,1787732876250,False,,5.77722954,5.78368544,5.77666432,5.7812366,1930.28700185,1787732936132,743
1787732936133,UNIUSDT,5.78376208,533.62148221,1787732936133,False,1787732936621,False,,5.79093759,5.79115556,5.78376208,5.78376208,533.62148221,1787732996132,142
